id,name,rating,user_ratings_total,latitude,longitude,types1,types2,types3,types4,types5,types6,types7,latitude_region
82,Casis Shopping Center,4.1,132.0,30.30413609999999,-97.7640833,shopping_mall, point_of_interest, establishment,,,,,North
149,Spicewood Park,4.8,8.0,30.4464378,-97.8039694,park, tourist_attraction, point_of_interest, establishment,,,,North
150,Galleria Oaks,4.1,551.0,30.4448534,-97.78935859999999,shopping_mall, point_of_interest, establishment,,,,,North
515,Eilers (Deep Eddy) Neighborhood Park,4.6,424.0,30.276622999999997,-97.7725719,park, tourist_attraction, point_of_interest, establishment,,,,North
516,Hula Hut,4.2,4446.0,30.2946928,-97.7844186,restaurant, food, point_of_interest, establishment,,,,North
519,Stassney Square,4.2,516.0,30.208656400000002,-97.7801396,shopping_mall, point_of_interest, establishment,,,,,North
524,2n1 Salad Bar and Grill,4.6,170.0,30.382072100000002,-97.6893755,restaurant, food, point_of_interest, store, establishment,,,North
525,Davenport Village,4.4,197.0,30.33660639999999,-97.8041246,shopping_mall, point_of_interest, establishment,,,,,North
527,Jade Restaurant,4.4,191.0,30.3352979,-97.804464,restaurant, food, point_of_interest, establishment,,,,North
529,Burnet Place Center,4.2,17.0,30.3639838,-97.72946359999999,shopping_mall, point_of_interest, establishment,,,,,North
531,Baby Greens,4.5,144.0,30.3523178,-97.7222035,restaurant, food, point_of_interest, store, establishment,,,North
534,10204 Tularosa Pass,5.0,1.0,30.430628000000002,-97.820594,point_of_interest, establishment,,,,,,North
537,Vic and Al's,5.0,72.0,30.284987599999997,-97.7169883,restaurant, food, point_of_interest, establishment,,,,North
543,Confituras Little Kitchen,4.9,77.0,30.24801149999999,-97.7736107,restaurant, food, point_of_interest, establishment,,,,North
544,Fairy Alley,4.7,3.0,30.2569908,-97.7636436,museum, point_of_interest, establishment,,,,,North
550,Lucy Read,4.9,8.0,30.35164129999999,-97.7363227,park, tourist_attraction, point_of_interest, establishment,,,,North
552,Beverly S. Sheffield Northwest District Park,4.5,426.0,30.348683,-97.74132840000001,park, tourist_attraction, point_of_interest, establishment,,,,North
553,Tres Monarcas,5.0,18.0,30.344620799999998,-97.736576,restaurant, food, point_of_interest, establishment,,,,North
555,Creekside Square,4.2,73.0,30.361266399999998,-97.7399603,shopping_mall, point_of_interest, establishment,,,,,North
559,2nd Street District,4.4,2253.0,30.2655,-97.7471,shopping_mall, point_of_interest, establishment,,,,,North
561,The Heel of the Boot,5.0,22.0,30.266322,-97.7350602,restaurant, food, point_of_interest, establishment,,,,North
562,Texas Capitol,4.7,2685.0,30.2746652,-97.7403505,tourist_attraction, local_government_office, point_of_interest, establishment,,,,North
567,Milano Cafe,4.4,324.0,30.239444399999996,-97.8319444,cafe, restaurant, food, point_of_interest, establishment,,,North
568,Landmark Exams,5.0,2.0,30.23529569999999,-97.8468646,point_of_interest, establishment,,,,,,North
573,Fonda San Miguel,4.6,1747.0,30.325570199999998,-97.7433749,bar, restaurant, food, point_of_interest, establishment,,,North
577,ABBY AT BEN WHITE,4.2,34.0,30.2204609,-97.7569734,shopping_mall, point_of_interest, establishment,,,,,North
122,JoJo Electro,1.0,1.0,30.3694543,-97.8925345,point_of_interest, establishment,,,,,,North
579,AUTENTICOS MICHOACANOS,4.7,27.0,30.2186967,-97.76594659999999,restaurant, food, point_of_interest, establishment,,,,North
581,Bull Creek Market,4.0,23.0,30.3608097,-97.78918440000001,shopping_mall, point_of_interest, establishment,,,,,North
582,St. Theresa of Lisieux Catholic Church,4.9,73.0,30.3431952,-97.77486460000002,tourist_attraction, church, place_of_worship, point_of_interest, establishment,,,North
583,County Line,4.4,2937.0,30.357107,-97.78562120000001,bar, restaurant, food, point_of_interest, establishment,,,North
584,Cook School Park,4.4,49.0,30.37681529999999,-97.7045044,park, point_of_interest, establishment,,,,,North
585,Los Arcos Taqueria,4.5,53.0,30.377634399999998,-97.7107186,restaurant, food, point_of_interest, establishment,,,,North
587,Gus Fruh,4.6,198.0,30.247912699999997,-97.79642690000001,tourist_attraction, park, point_of_interest, establishment,,,,North
591,Landmark Barton Creek Apartments,3.8,88.0,30.2578728,-97.79194,point_of_interest, establishment,,,,,,North
592,Park,4.1,9.0,30.27810259999999,-97.6279713,park, point_of_interest, establishment,,,,,North
593,Mi Casita Restaurant,4.2,119.0,30.268336699999995,-97.6268071,restaurant, food, point_of_interest, establishment,,,,North
5,Bullock Texas State History Museum,4.7,4376.0,30.2802637,-97.7387272,tourist_attraction, museum, point_of_interest, establishment,,,,North
596,LBJ Presidential Library,4.6,852.0,30.28585589999999,-97.72925440000002,museum, tourist_attraction, point_of_interest, establishment,,,,North
